-1.148,0.10487,1
0.19781,1.5877,1
-2.2588,0.86217,1
5.1006,5.8261,-1
-1.4916,-0.7423,1
0.31877,-1.3077,1
-1.0689,-0.8095,1
6.1385,2.5031,-1
0.48889,1.0347,1
5.6992,5.2696,-1
4.1392,5.7847,-1
4.4954,3.7294,-1
0.32519,-0.75493,1
5.5362,5.8979,-1
3.5714,4.9791,-1
4.5289,5.137,-1
5.5632,5.1136,-1
-0.6156,0.74808,1
4.8751,6.479,-1
-0.76967,0.37138,1
5.3999,4.07,-1
-1.0616,2.3505,1
6.8779,5.9407,-1
4.7901,3.3011,-1
-2.9443,1.4384,1
6.1454,4.3709,-1
1.3703,-1.7115,1
4.4393,7.1778,-1
-1.0891,0.032557,1
5.6076,4.8822,-1
-0.43359,0.34262,1
4.0515,5.4115,-1
0.71724,1.6302,1
4.6174,5.6487,-1
-1.4224,0.48819,1
4.0953,4.7117,-1
0.83509,-0.24372,1
0.7254,-0.063055,1
6.036,7.4245,-1
0.8884,-1.1471,1
-0.66689,0.18733,1
6.5763,4.5191,-1
-0.10224,-0.24145,1
3.943,4.7159,-1
-0.86488,-0.030051,1
4.9133,3.5306,-1
-0.082494,-1.933,1
0.72225,2.5855,1
4.3088,5.4494,-1
6.0078,2.8763,-1
1.0933,1.1093,1
0.31921,0.31286,1
3.5784,2.7694,1
0.6715,-1.2075,1
4.6886,4.43,-1
5.7477,4.727,-1
5.4413,3.6019,-1
5.3199,4.4417,-1
-0.80447,0.69662,1
5.3086,4.7661,-1
5.8257,3.9851,-1
0.72689,-0.30344,1
5.7873,4.1241,-1
3.1946,6.8586,-1
-1.2141,-1.1135,1
0.53767,1.8339,1
5.3275,5.6647,-1
5.0852,5.881,-1
-1.3499,3.0349,1
5.1922,4.1777,-1
5.3501,3.1641,-1
-0.19242,0.88861,1
0.55253,1.1006,1
1.4193,0.29158,1
-0.22558,1.1174,1
5.3232,4.2159,-1
4.7449,5.1644,-1
1.5442,0.085931,1
4.0953,4.5323,-1
-0.12414,1.4897,1
4.8681,4.8528,-1
4.7081,5.3018,-1
3.7962,4.7461,-1
-0.43897,-1.7947,1
4.9058,5.3362,-1
0.29387,-0.78728,1
-0.17738,-0.19605,1
5.677,5.8577,-1
0.71474,-0.20497,1
5.4286,3.964,-1
5.9594,4.6842,-1
-0.76485,-1.4023,1
3.9743,4.0913,-1
-0.16488,0.62771,1
0.21567,-1.1658,1
4.8232,2.8679,-1
-0.86365,0.077359,1
4.3955,5.1034,-1
-0.0068493,1.5326,1
1.409,1.4172,1
