-2.9443,1.4384,1
0.6715,-1.2075,1
0.53767,1.8339,1
1.4939,8.3672,-1
0.14241,5.2388,-1
-0.6156,0.74808,1
-1.2906,-4.882,-1
0.29387,-0.78728,1
0.72225,2.5855,1
-1.4224,0.48819,1
-3.1948,-5.3052,-1
-1.4916,-0.7423,1
-2.3788,-4.6515,-1
0.31921,0.31286,1
0.72689,-0.30344,1
4.2475,-4.8135,-1
-0.1126,-5.6889,-1
-0.76967,0.37138,1
1.3703,-1.7115,1
-3.7877,3.3313,-1
-5.976,2.5237,-1
-6.3839,-3.5308,-1
-1.244,5.7365,-1
-3.8438,-6.6098,-1
-0.89138,-9.6961,-1
0.31877,-1.3077,1
-1.0891,0.032557,1
-0.12414,1.4897,1
-1.0689,-0.8095,1
2.7058,-5.5069,-1
5.307,4.5317,-1
5.3955,-0.35065,-1
1.9846,6.4155,-1
-2.1019,-4.8916,-1
-0.66689,0.18733,1
0.18434,-5.5384,-1
-3.8498,-6.9869,-1
0.19781,1.5877,1
2.5606,-5.559,-1
-3.5141,-4.1558,-1
-4.5981,-3.2936,-1
-0.86488,-0.030051,1
-2.9687,-5.4865,-1
-4.1557,-5.8703,-1
1.409,1.4172,1
4.6953,-5.08,-1
-0.0068493,1.5326,1
0.71474,-0.20497,1
7.8156,2.9171,-1
-3.0966,3.9936,-1
7.615,-3.97,-1
-0.43897,-1.7947,1
2.789,-4.8174,-1
2.639,6.1166,-1
-0.43359,0.34262,1
-0.17738,-0.19605,1
2.3348,-4.4409,-1
5.3348,3.6692,-1
4.38,6.1501,-1
1.0933,1.1093,1
0.7254,-0.063055,1
-0.16488,0.62771,1
0.83509,-0.24372,1
-1.3499,3.0349,1
-4.6698,5.7453,-1
0.71724,1.6302,1
-6.6046,-2.3235,-1
-2.2588,0.86217,1
5.7255,0.36669,-1
-1.2141,-1.1135,1
0.55253,1.1006,1
-0.082494,-1.933,1
-4.8774,-5.8943,-1
-0.86365,0.077359,1
2.2996,5.234,-1
-3.0618,-9.219,-1
-5.1763,0.86468,-1
5.0226,0.37496,-1
-0.97604,5.8332,-1
3.5784,2.7694,1
-3.5,-5.5629,-1
-0.22558,1.1174,1
6.073,-7.0786,-1
5.5607,3.1179,-1
10.58,-0.33731,-1
-3.2609,-4.2793,-1
0.21567,-1.1658,1
-1.148,0.10487,1
-0.80447,0.69662,1
0.32519,-0.75493,1
6.0102,2.853,-1
2.8825,5.2147,-1
-0.19242,0.88861,1
-0.76485,-1.4023,1
1.5442,0.085931,1
3.0866,4.3739,-1
-0.10224,-0.24145,1
0.8884,-1.1471,1
6.6815,-0.20764,-1
-6.5805,-1.0002,-1
5.104,-1.5291,-1
1.4193,0.29158,1
6.0323,0.076663,-1
7.852,1.6529,-1
7.5263,3.1904,-1
0.48889,1.0347,1
-3.4816,7.1322,-1
-1.0616,2.3505,1
0.30499,8.362,-1
-7.6933,1.3976,-1
